episode,return,length,mean_goal_error,success_ratio,op_delta_damage_sum,self_delta_damage_sum
137,53.51969888640451,297,0.07687043205455497,0.5791245791245792,0.0,0.0
138,40.23937664285768,296,0.09442268943766484,0.44256756756756754,0.0,0.0
139,51.475279780719575,291,0.06416741766265988,0.5738831615120275,0.0,0.0
140,48.17855264802347,290,0.070358338540998,0.5482758620689655,0.0,0.0
141,43.09614836266701,298,0.06899294947217775,0.46308724832214765,0.0,0.0
142,43.076955003127296,292,0.07753922042679297,0.4726027397260274,0.0,0.0
143,47.40031270345207,291,0.0711160226376196,0.5257731958762887,0.0,0.0
144,53.28727294912096,290,0.06437392967014477,0.593103448275862,0.0,0.0
145,52.3971630683518,291,0.06982507925365389,0.5910652920962199,0.0,0.0
146,49.369904336312175,293,0.06602576525036385,0.5426621160409556,0.0,0.0
147,28.03007441860973,298,0.09251870104930544,0.3053691275167785,0.0,0.0
148,32.235762380907545,294,0.09957998218078191,0.35714285714285715,0.0,0.0
149,53.60162439959822,289,0.05926040028927648,0.5951557093425606,0.0,0.0
150,35.20202108832382,294,0.07988075853711894,0.3843537414965986,0.0,0.0
151,42.2161308243376,287,0.07185040741432004,0.46689895470383275,0.0,0.0
152,38.27920742437709,292,0.09259112857996601,0.4280821917808219,0.0,0.0
153,49.905703899567015,295,0.06161162034939911,0.559322033898305,0.0,0.0
154,55.80756503005978,295,0.06591703788203708,0.6135593220338983,0.0,0.0
155,54.332957312282815,293,0.063861974753414,0.6075085324232082,0.0,0.0
156,60.374289698927896,296,0.05624732319769021,0.6621621621621622,0.0,0.0
157,44.06504634275916,293,0.0950212325811793,0.5017064846416383,0.0,0.0
158,47.910315215121955,295,0.06792750232300516,0.5322033898305085,0.0,0.0
159,58.81165463848447,296,0.05316663490658676,0.6452702702702703,0.0,0.0
160,53.880104048635985,297,0.06504534789508441,0.5824915824915825,0.0,0.0
161,56.37825849698493,291,0.05547857491933193,0.6288659793814433,0.0,0.0
162,44.6389418343897,299,0.07081464227027319,0.48494983277591974,0.0,0.0
163,49.245768576125556,292,0.0717566447358017,0.5513698630136986,0.0,0.0
164,49.2200197794009,295,0.0718570309422784,0.5457627118644067,0.0,0.0
165,35.29334588185884,297,0.07682785998891901,0.3872053872053872,0.0,0.0
166,52.59565394413221,300,0.07430491596460342,0.58,0.0,0.0
167,48.828174349167966,295,0.06080580934629602,0.5389830508474577,0.0,0.0
168,47.779222347800896,290,0.07237993149921812,0.5310344827586206,0.0,0.0
169,57.393175040138885,297,0.05683055971608018,0.6296296296296297,0.0,0.0
170,48.25534948555287,289,0.0737666749366427,0.5432525951557093,0.0,0.0
171,53.562588482978754,295,0.07507191073086303,0.6,0.0,0.0
172,62.041189840529114,292,0.05319322492570093,0.6952054794520548,0.0,0.0
173,34.04065289137543,295,0.07906955488152423,0.37966101694915255,0.0,0.0
174,59.16326296867919,297,0.0648174337064377,0.6531986531986532,0.0,0.0
175,35.67999002528086,304,0.08455651866174058,0.3848684210526316,0.0,0.0
176,44.637777113355696,295,0.07804189127380565,0.49830508474576274,0.0,0.0
177,46.08399791494594,290,0.0738136247828089,0.5206896551724138,0.0,0.0
178,39.92293735174462,297,0.0745593597642099,0.43434343434343436,0.0,0.0
179,46.2255510619143,304,0.07132458745648987,0.4967105263157895,0.0,0.0
180,39.73042040246219,288,0.08146341411500341,0.4618055555555556,0.0,0.0
