episode,return,length,mean_goal_error,success_ratio,episode_success,op_delta_damage_sum,self_delta_damage_sum
54,-1.5596821010112762,2,0.2748410403728485,0.0,0.0,0.0,0.0
55,-1.7713636755943298,2,0.38568180799484253,0.0,0.0,0.0,0.0
56,-74.35442937910557,193,0.3910074099666714,1.0,1.0,0.0,0.0
57,-190.12814950942993,213,0.8867049284384284,0.0,0.0,0.0,0.0
58,-1.9026706516742706,2,0.4463353455066681,0.0,0.0,0.0,0.0
59,-1.6968417167663574,2,0.3484208583831787,0.0,0.0,0.0,0.0
60,-1.6297436356544495,2,0.3148718476295471,0.0,0.0,0.0,0.0
61,1.9536547660827637,1,0.04634523391723633,1.0,1.0,0.0,0.0
62,-96.28461796045303,135,0.7266268009388889,1.0,1.0,0.0,0.0
63,-11.631091669201851,57,0.23229985435803732,1.0,1.0,0.0,0.0
64,-147.07400986552238,197,0.7392589354575588,0.0,0.0,0.0,0.0
65,-1.7488665282726288,2,0.3744332492351532,0.0,0.0,0.0,0.0
66,-105.76075506210327,177,0.5903997475144553,0.0,0.0,0.0,0.0
67,-1.7369325160980225,2,0.36846625804901123,0.0,0.0,0.0,0.0
68,-1.4768704771995544,2,0.23843520879745483,0.0,0.0,0.0,0.0
69,-1.801356315612793,2,0.4006781578063965,0.0,0.0,0.0,0.0
70,-1.9155259132385254,2,0.4577629566192627,0.0,0.0,0.0,0.0
71,-167.42947694659233,330,0.5025438711498723,0.0,0.0,0.0,0.0
72,-1.493239164352417,2,0.2466195821762085,0.0,0.0,0.0,0.0
73,-1.4106282591819763,2,0.20531409978866577,0.0,0.0,0.0,0.0
74,1.9002974033355713,1,0.09970265626907349,1.0,1.0,0.0,0.0
75,-1.5556198954582214,2,0.2678099274635315,0.0,0.0,0.0,0.0
76,-32.409755170345306,151,0.22423679070756924,1.0,1.0,0.0,0.0
77,-316.0798168182373,608,0.5158549639837522,0.0,0.0,0.0,0.0
78,-1.5194451808929443,2,0.25972259044647217,0.0,0.0,0.0,0.0
79,-1.6347520649433136,2,0.317376047372818,0.0,0.0,0.0,0.0
80,-1.6561904549598694,2,0.3280952572822571,0.0,0.0,0.0,0.0
81,-5.91948901116848,48,0.15978101827204227,1.0,1.0,0.0,0.0
82,-189.7936370074749,296,0.6364649910781834,0.0,0.0,0.0,0.0
83,-1.8885812759399414,2,0.4442906379699707,0.0,0.0,0.0,0.0
84,-1.363059937953949,2,0.1815299391746521,0.0,0.0,0.0,0.0
85,-1.840745985507965,2,0.42037302255630493,0.0,0.0,0.0,0.0
86,-109.91914328932762,248,0.43620622326289454,0.0,0.0,0.0,0.0
87,-1.9846047759056091,2,0.4923023581504822,0.0,0.0,0.0,0.0
88,-1.5521517395973206,2,0.27607589960098267,0.0,0.0,0.0,0.0
89,-1.7614681720733643,2,0.38073408603668213,0.0,0.0,0.0,0.0
90,1.9568233489990234,1,0.04317668080329895,1.0,1.0,0.0,0.0
91,-220.31031477451324,315,0.693302589560312,0.0,0.0,0.0,0.0
92,-1.683891773223877,2,0.3419458866119385,0.0,0.0,0.0,0.0
93,-1.3654897511005402,2,0.18274489045143127,0.0,0.0,0.0,0.0
94,-1.7200011610984802,2,0.3600005507469177,0.0,0.0,0.0,0.0
95,-1.683075875043869,2,0.3415379226207733,0.0,0.0,0.0,0.0
96,-27.907523050904274,95,0.3145002418442776,1.0,1.0,0.0,0.0
97,-33.15999040007591,96,0.3648957333837946,1.0,1.0,0.0,0.0
98,-58.96662551164627,65,0.8901019325623145,0.0,0.0,0.0,0.0
99,-1.8528571724891663,2,0.4264286160469055,0.0,0.0,0.0,0.0
100,-1.5640053153038025,2,0.28200262784957886,0.0,0.0,0.0,0.0
101,-55.71923327445984,95,0.6052550896217949,1.0,1.0,0.0,0.0
102,-73.00048667192459,153,0.4688267102038938,0.0,0.0,0.0,0.0
103,-1.4486084282398224,2,0.2243042290210724,0.0,0.0,0.0,0.0
104,-1.636113703250885,2,0.3180568814277649,0.0,0.0,0.0,0.0
105,1.9194843769073486,1,0.08051565289497375,1.0,1.0,0.0,0.0
106,-79.96477219462395,231,0.352791223562125,1.0,1.0,0.0,0.0
107,-41.42870044708252,51,0.7887980517219094,0.0,0.0,0.0,0.0
108,-1.6026492416858673,2,0.30132463574409485,0.0,0.0,0.0,0.0
109,-2.086649179458618,2,0.5433245897293091,0.0,0.0,0.0,0.0
110,-1.856865406036377,2,0.4284327030181885,0.0,0.0,0.0,0.0
111,1.9005225896835327,1,0.09947741031646729,1.0,1.0,0.0,0.0
112,-241.00404025614262,720,0.33107505804962584,0.0,0.0,0.0,0.0
